file,line,type,commit,author,date,time,timezone,datetime,depth,length
style.css,51,css,3e9fd43f,Chanyoung Park,2025-01-30,20:41:06,-08:00,2025-01-30T20:41:06-08:00,0,0
style.css,52,css,3e9fd43f,Chanyoung Park,2025-01-30,20:41:06,-08:00,2025-01-30T20:41:06-08:00,0,19
style.css,53,css,7cab4e68,Chanyoung Park,2025-01-14,18:42:09,-08:00,2025-01-14T18:42:09-08:00,0,4
style.css,54,css,7cab4e68,Chanyoung Park,2025-01-14,18:42:09,-08:00,2025-01-14T18:42:09-08:00,0,13
style.css,55,css,7cab4e68,Chanyoung Park,2025-01-14,18:42:09,-08:00,2025-01-14T18:42:09-08:00,0,42
style.css,56,css,f927b111,Chanyoung Park,2025-01-22,22:56:05,-08:00,2025-01-22T22:56:05-08:00,0,40
style.css,57,css,f927b111,Chanyoung Park,2025-01-22,22:56:05,-08:00,2025-01-22T22:56:05-08:00,0,40
style.css,58,css,7cab4e68,Chanyoung Park,2025-01-14,18:42:09,-08:00,2025-01-14T18:42:09-08:00,0,18
style.css,59,css,7cab4e68,Chanyoung Park,2025-01-14,18:42:09,-08:00,2025-01-14T18:42:09-08:00,0,0
style.css,60,css,7cab4e68,Chanyoung Park,2025-01-14,18:42:09,-08:00,2025-01-14T18:42:09-08:00,0,0
style.css,61,css,7cab4e68,Chanyoung Park,2025-01-14,18:42:09,-08:00,2025-01-14T18:42:09-08:00,0,6
style.css,62,css,7cab4e68,Chanyoung Park,2025-01-14,18:42:09,-08:00,2025-01-14T18:42:09-08:00,0,7
style.css,63,css,7cab4e68,Chanyoung Park,2025-01-14,18:42:09,-08:00,2025-01-14T18:42:09-08:00,0,21
style.css,64,css,7cab4e68,Chanyoung Park,2025-01-14,18:42:09,-08:00,2025-01-14T18:42:09-08:00,0,14
style.css,65,css,7cab4e68,Chanyoung Park,2025-01-14,18:42:09,-08:00,2025-01-14T18:42:09-08:00,0,18
style.css,66,css,7cab4e68,Chanyoung Park,2025-01-14,18:42:09,-08:00,2025-01-14T18:42:09-08:00,0,14
style.css,67,css,7cab4e68,Chanyoung Park,2025-01-14,18:42:09,-08:00,2025-01-14T18:42:09-08:00,0,0
style.css,68,css,7cab4e68,Chanyoung Park,2025-01-14,18:42:09,-08:00,2025-01-14T18:42:09-08:00,0,0
style.css,69,css,7cab4e68,Chanyoung Park,2025-01-14,18:42:09,-08:00,2025-01-14T18:42:09-08:00,0,14
style.css,70,css,7cab4e68,Chanyoung Park,2025-01-14,18:42:09,-08:00,2025-01-14T18:42:09-08:00,0,17
style.css,71,css,7cab4e68,Chanyoung Park,2025-01-14,18:42:09,-08:00,2025-01-14T18:42:09-08:00,0,44
style.css,72,css,f927b111,Chanyoung Park,2025-01-22,22:56:05,-08:00,2025-01-22T22:56:05-08:00,0,45
style.css,73,css,7cab4e68,Chanyoung Park,2025-01-14,18:42:09,-08:00,2025-01-14T18:42:09-08:00,0,19
style.css,74,css,7cab4e68,Chanyoung Park,2025-01-14,18:42:09,-08:00,2025-01-14T18:42:09-08:00,0,0
style.css,75,css,7cab4e68,Chanyoung Park,2025-01-14,18:42:09,-08:00,2025-01-14T18:42:09-08:00,0,0
style.css,76,css,7cab4e68,Chanyoung Park,2025-01-14,18:42:09,-08:00,2025-01-14T18:42:09-08:00,0,8
